Gender,Age,,1 Mile,5 km,6 km,4 Mile,8 km,5 MIle,10 km,7 Mile,12 km,15 km,10 Mile,20 km,H. Mar,25 km,30 km,Marathon,50 km,50 Mile,100 km,150 km,100 Mile,200 km,
M,`,MOC sec,232.000,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800,
F,OC sec,FOC sec,253.000,834,1010,1087,1365,1375,1726,1950,2084,2629,2832,3557,3772,4500,5450,7796,9390,17100,23591,39700,43500,57600,
M,5,M5,321.330,1264.803,1599.000,1645.000,2325.366,2345.519,3122.413,3579.000,3150.000,5002.071,5423.197,5362.000,7468.081,6760.000,8191.000,16391.029,14507.000,26447.000,35132.000,59704.000,65444.000,86842.000,
M,6,M6,308.798,1153.962,1452.000,1586.000,2093.411,2111.241,2789.715,3181.000,3419.000,4385.328,4737.130,6053.000,6433.632,7764.000,9540.000,14242.126,17362.000,31654.000,42047.000,71457.000,78327.000,103937.000,
M,7,M7,297.741,1068.056,1339.000,1460.000,1915.738,1931.836,2537.242,2882.000,3091.000,3934.506,4240.196,5376.000,5704.132,6890.000,8479.000,12688.530,15468.000,28201.000,37461.000,63662.000,69783.000,92599.000,
M,8,M8,287.948,1000.260,1249.000,1360.000,1776.614,1791.383,2340.426,2650.000,2839.000,3594.285,3866.786,4877.000,5167.715,6246.000,7691.000,11522.535,14047.000,25609.000,34018.000,57812.000,63370.000,84090.000,
M,9,M9,279.249,946.112,1178.000,1281.000,1665.561,1679.288,2183.924,2468.000,2641.000,3331.034,3579.310,4498.000,4761.313,5755.000,7087.000,10620.963,12948.000,23605.000,31356.000,53288.000,58412.000,77510.000,
M,10,M10,271.504,902.582,1120.000,1217.000,1576.039,1588.738,2057.677,2322.000,2482.000,3122.979,3353.146,4203.000,4446.019,5373.000,6615.000,9909.601,12081.000,22024.000,29256.000,49719.000,54499.000,72319.000,
M,11,M11,264.599,867.554,1073.000,1165.000,1503.354,1515.224,1954.832,2204.000,2355.000,2957.746,3173.924,3971.000,4199.319,5073.000,6242.000,9341.511,11388.000,20762.000,27579.000,46869.000,51375.000,68173.000,
M,12,M12,258.438,839.520,1036.000,1123.000,1444.023,1455.383,1870.572,2108.000,2252.000,2825.222,3030.834,3788.000,4005.339,4835.000,5945.000,8882.750,10829.000,19742.000,26225.000,44567.000,48852.000,64825.000,
