Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,Comments,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
10 Mile,M,6.0,1:46:37,6397.0,Charlie,Westrip ,USA,8/15/2010,,Dalton GA USA,12/10/2016,,,,,,,,29.8
10 Mile,M,7.0,1:15:23,4523.0,Grattan,O'Neill ,USA,2/26/2007,,Homewood AL USA,1/10/2015,,,,,,,,44.8
10 Mile,M,8.0,1:13:15,4395.0,Grattan,O'Neill ,USA,2/26/2007,,Mooresville AL USA,3/21/2015,,,,,,,,46.3
10 Mile,M,9.0,1:11:24,4284.0,Jaden,Merrick ,USA,10/16/2007,,Des Moines IA USA,9/17/2016,,,,,,,,47.7
10 Mile,M,10.0,1:09:53,4193.0,Andrew,Burr ,USA,7/22/2006,,Cazenovia NY USA,7/4/2017,,,,,,,,48.9
10 Mile,M,11.0,1:03:59,3839.0,Elliot-Josiah,Daniels ,USA,7/31/2004,,San Juan Bautista CA USA,1/30/2016,,,,,,,,54.1
10 Mile,M,12.0,58:56,3536.0,Jeff,Campbell ,USA,8/7/1971,,Olney PA USA,3/18/1984,,,,,,,,59.5
10 Mile,M,13.0,49:40,2980.0,Takashi,Watanabe ,JPN,5/22/1982,,Karatsu JPN,2/11/1996,,,,,,,,72.6
10 Mile,M,15.0,50:31,3031.0,Simon,Cheprot ,KEN,7/2/1993,,Manitou Springs CO USA,6/14/2009,,,,,,,,71.2
10 Mile,M,16.0,46:07,2767.0,Tsegay,Tuemay Weldelibanos,ERI,12/20/1995,,Tilburg NED,9/2/2012,,,,,,,,79.2
10 Mile,M,17.0,45:30,2730.0,Martin,Irungu Mathathi,KEN,12/25/1985,,Kosa JPN,12/14/2003,,,,,,,,80.4
10 Mile,M,18.0,44:51,2691.0,Martin,Irungu Mathathi,KEN,12/25/1985,,Kosa JPN,12/12/2004,,,,,,,,81.8
10 Mile,M,19.0,45:10,2710.0,Samuel,Wanjiru Kamau,KEN,11/10/1986,,Kosa JPN,12/11/2005,,,,,,,,81.1
10 Mile,M,20.0,45:01,2701.0,Martin,Irungu Mathathi,KEN,12/25/1985,,Kosa JPN,12/10/2006,,,,,,,,81.5
10 Mile,M,21.0,45:19,2719.0,Jeremiah,Karimi Thuku,KEN,7/7/1994,,Kosa JPN,11/29/2015,,,,,,,,80.8
10 Mile,M,22.0,45:15,2715.0,Gideon,Ngatuny Lekumok,KEN,10/10/1986,,Kosa JPN,12/7/2008,,,,,,,,81.0
10 Mile,M,23.0,44:52,2692.0,Bernard,Kibet,Ken,11/25/99,,Kosa JPN,12/4/22,WA Official WB,,,,,,,81.8
10 Mile,M,24.0,44:59,2699.0,Martin,Irungu Mathathi,KEN,12/25/1985,,Kosa JPN,12/5/2010,,,,,,,,81.5
10 Mile,M,25.0,45:20,2720.0,Julius,Maina Nderitu,KEN,10/14/1977,,Kosa JPN,12/8/2002,,,,,,,,80.8
10 Mile,M,26.0,45:12,2712.0,Bernard,Koech Kiprop,KEN,1/31/1988,,Tilburg NED,9/7/2014,,,,,,,,81.1
10 Mile,M,27.0,45:22,2722.0,Bernard,Koech Kiprop,KEN,1/31/1988,,Tilburg NED,9/6/2015,,,,,,,,80.7
10 Mile,M,28.0,45:55,2755.0,Julius,Kiprotich Kogo,KEN,8/12/1985,,Flint MI USA,8/24/2013,,,,,,,,79.6
