Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
10 km,M,4.0,1:10:30,4230.0,Aaron,Westrip ,USA,5/20/13,,Smyna GA USA,11/18/17,,26.6
10 km,M,6.0,46:50,2810.0,Gavin,Clewley ,USA,7/19/10,,Charlottesville VA USA,7/9/17,,43.2
10 km,M,7.0,42:41,2561.0,Grattan,O'Neill ,USA,2/26/07,,Florence AL USA,11/22/14,,48.1
10 km,M,8.0,40:44,2444.0,Grattan,O'Neill ,USA,2/26/07,,Florence AL USA,11/21/15,,50.9
10 km,M,9.0,38:32,2312.0,Hunt,Dickson ,USA,4/25/72,,Mobile AL USA,3/6/82,,54.3
10 km,M,10.0,37:18,2238.0,Constantine,Yap ,USA,6/8/99,,Santa Monica CA USA,5/16/10,,56.4
10 km,M,11.0,37:45,2265.0,Caleb,Hymans ,USA,2/14/05,,Reston VA USA,2/4/17,,55.6
10 km,M,12.0,35:34,2134.0,Caleb,Hymans ,USA,2/14/05,,Quantico VA USA,11/18/17,,59.6
10 km,M,14.0,29:16,1756.0,Damian Paul,Chopa ,TAN,11/28/86,,Arusha TAN,7/22/01,,75.0
10 km,M,15.0,28:38,1718.0,Dida,Deriba Bonsa ,ETH,1/21/95,,Luanda ANG,12/31/10,,76.9
10 km,M,16.0,28:05,1685.0,Abayneh,Degu Tsehay,ETH,12/1/98,,Berlin GER,10/11/15,,78.7
10 km,M,17.0,27:56,1676.0,Eric,Ndiema ,KEN,12/28/92,,Appingedam NED,6/26/10,,79.2
10 km,M,18.0,27:42,1662.0,Stanley,Kipkosgei Salil,KEN,4/2/86,,Prague CZE,9/19/04,,80.0
10 km,M,19.0,26:56,1616.0,Tadese ,Worku,ETH,1/20/02,Adizero Road to Records,"Herzogenaurach, Ger",9/12/21,,82.7
10 km,M,20.0,26:24,1584.0,Rhonex,Kipruto,KEN,10/12/99,,Valencia Ibercaja,1/12/20,WR,84.7
10 km,M,21.0,26:43,1603.0,Rhonex,Kipruto,KEN,10/12/99,Adizero Road to Records,"Herzogenaurach, Ger",9/12/21,,83.5
10 km,M,22.0,26:44,1604.0,Leonard,Patrick Komon,KEN,1/10/88,,Utrecht NED,9/26/10,,83.4
10 km,M,23.0,26:38,1598.0,Joshua ,Cheptegei,UGA,9/12/96,,Valencia Ibercaja,12/1/19,,83.8
10 km,M,24.0,27:15,1635.0,Micah,Kogo Kemboi,KEN,6/3/86,,Brunssum NED,4/3/11,,81.6
10 km,M,25.0,26:51,1611.0,Kibiwott,Kandie,KEN,6/20/96,The Giants Geneva 10K,"Geneva, SWI",10/3/21,,83.0
10 km,M,26.0,27:28,1648.0,Zane,Robertson ,NZL,11/14/89,,Berlin GER,10/9/16,,80.8
10 km,M,27.0,27:39,1659.0,Geoffrey,Mutai Kiprono,KEN,10/7/81,,Voorthuizen NED,7/15/09,,80.2
10 km,M,28.0,27:24,1644.0,Deribe,Merga Ejigu,ETH,10/26/80,,Ottawa ON CAN,5/23/09,,81.0
10 km,M,29.0,27:19,1639.0,Geoffrey,Mutai Kiprono,KEN,10/7/81,,Boston MA USA,6/26/11,,81.3
10 km,M,30.0,27:04,1624.0,Josphat,Kiprono Menjo,KEN,8/20/79,,Barcelona ESP,4/18/10,,82.2
10 km,M,31.0,27:28,1648.0,Geoffrey,Ronoh ,KEN,11/29/82,,Prague CZE,9/6/14,,80.8
10 km,M,32.0,27:09,1629.0,Peter,Kamais Lotagor,KEN,11/7/76,,Tilburg NED,9/6/09,,81.9
10 km,M,33.0,27:40,1660.0,John,Kibowen ,KEN,4/21/69,,Brunssum NED,4/6/03,,80.1
10 km,M,34.0,27:45,1665.0,Gilbert,Masai ,KEN,5/20/81,,Prague CZE,9/5/15,,79.8
10 km,M,35.0,27:51,1671.0,John,Kibowen ,KEN,4/21/69,,Brunssum NED,4/3/05,,79.5
10 km,M,36.0,27:39,1659.0,Haile,Gebreselasie ,ETH,4/18/73,,Manchester ENG,5/17/09,,80.2
10 km,M,37.0,28:02,1682.0,Haile,Gebreselasie ,ETH,4/18/73,,Manchester ENG,5/16/10,,78.9
10 km,M,38.0,28:08,1688.0,Haile,Gebreselasie ,ETH,4/18/73,,Luanda ANG,12/31/11,,78.5
