Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
15 km,M,5,2:01:06,7266.0,Cole,Breuer ,USA,6/16/06,Gates River Run 15k ,Jacksonville FL USA,3/10/12,,,,,,,,23.3
15 km,M,6,1:21:09,4869.0,Joseph-Jackson,Herrera ,USA,8/12/08,,Canby OR USA,5/2/15,,,,,,,,37.6
15 km,M,7,1:07:42,4062.0,Grattan,O'Neill ,USA,2/26/07,,Huntsville AL USA,10/11/14,,,,,,,,46.5
15 km,M,8,1:09:58,4198.0,Christopher,Tolson ,USA,8/2/94,Gates River Run 15k ,Jacksonville FL USA,3/8/03,,,,,,,,44.7
15 km,M,9,1:03:42,3822.0,Cade,Deterding ,USA,4/2/07,,Nashville TN USA,2/11/17,,,,,,,,49.9
15 km,M,10,1:00:54,3654.0,Liam,Ballard ,USA,4/3/05,Gasparilla Distance Classic 15K,Tampa FL USA,2/20/16,,,,,,,,52.5
15 km,M,11,1:05:37,3937.0,Noah,Bliss ,USA,12/29/03,,Chicago IL USA,11/8/15,,,,,,,,48.2
15 km,M,12,1:13:41,4421.0,Ethan,Wolfe ,USA,12/16/03,,Tyler TX USA,3/5/16,,,,,,,,42.1
15 km,M,15,43:43,2623.0,Meck,Mothuli ,RSA,4/12/76,,Cape Town RSA,11/2/91,,,,,,,,77.3
15 km,M,16,43:46,2626.0,Daniel,Andrea Sipe,TAN,6/30/84,,Breda NED,5/6/01,,,,,,,,77.2
15 km,M,17,42:17,2537.0,Ayele,Abshiro Biza,ETH,12/28/90,,Nijmegen NED,11/16/08,,,,,,,,80.3
15 km,M,18,42:45,2565.0,Lazarus,Nyakeraka Oyondi,KEN,11/22/75,Gasparilla Distance Classic 15K,Tampa FL USA,2/26/94,,,,,,,,79.3
15 km,M,19,42:02,2522.0,Ayele,Abshiro Biza,ETH,12/28/90,,Nijmegen NED,11/21/10,,,,,,,,80.9
15 km,M,20,42:01,2521.0,Abera,Kuma Lema,ETH,8/31/90,,Nijmegen NED,11/21/10,,,,,,,,80.9
15 km,M,21,40:43,2443.0,Jacob,Kiplimo,UGA,11/14/00,"Ras Al Khaimah Half Marathon, 15K split",Ras Al Khaimah UAE,2/19/22,,,,,,,,84.0
15 km,M,22,41:05,2465.0,Joshua, CHEPTEGEI,UGA,9/12/96,Zevenheuvelenloop,Nijmegen NED,11/18/18,WA Official WB,,,,,,,83.1
15 km,M,23,41:05,2465.0,Jacob,Kiplimo,UGA,11/14/00,Zevenheuvelenloop,Nijmegen NED,11/19/23,WA Official WB,,,,,,,83.1
15 km,M,24,41:46,2506.0,Tamrat,Tola Abera,ETH,8/11/91,,Cardiff WAL,3/26/16,,,,,,,,81.5
15 km,M,25,41:41,2501.0,Bitan,Karoki Muchiri,KEN,8/21/90,,Cardiff WAL,3/26/16,,,,,,,,81.7
15 km,M,26,42:01,2521.0,Nicholas,Kipkemboi Kerich,KEN,7/5/86,,Nijmegen NED,11/18/12,,,,,,,,80.9
15 km,M,27,42:28,2548.0,Michael,Musyoki ,KEN,5/28/56,Cascade Run Off,Portland OR USA,6/26/83,,,,,,,,79.9
15 km,M,28,41:38,2498.0,Haile,Gebreselasie ,ETH,4/18/73,,Nijmegen NED,11/11/01,,,,,,,,81.8
15 km,M,29,42:01,2521.0,Steven,Kibet Kosgei,KEN,11/9/86,,Copenhagen DEN,9/18/16,,,,,,,,80.9
15 km,M,30,42:24,2544.0,Worku,Bikila ,ETH,5/6/68,,Nijmegen NED,5/24/98,,,,,,,,80.1
15 km,M,31,42:25,2545.0,Geoffrey,Mutai Kiprono,KEN,10/7/81,,s-Heerenberg NED,12/2/12,,,,,,,,80.0
15 km,M,32,41:57,2517.0,Haile,Gebreselasie ,ETH,4/18/73,,Nijmegen NED,11/20/05,,,,,,,,81.1
15 km,M,33,42:03,2523.0,Mohamed,Farah ,ENG,3/23/83,,Cardiff WAL,3/26/16,,,,,,,,80.9
15 km,M,34,42:33,2553.0,Andrew,Masai ,KEN,1/13/60,,La Courneuve FRA,5/29/94,,,,,,,,79.7
