Event,Gender,Age,Time,TIME_SEC,Fname,Lname,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,Unnamed: 12,VDOT
20 km,M,8,1:44:38,6278,Jason,Parks,USA,3/7/06,,Leesburg VA USA,8/17/14,,40.1
20 km,M,14,1:12:07,4327,Mitch,Kingery,USA,7/3/56,,Portola Valley CA USA,1/17/71,,61.6
20 km,M,15,1:00:30,3630,Juma,Ninga,TAN,11/12/74,,Plovdiv BUL,8/12/90,,75.5
20 km,M,16,1:01:01,3661,Taiki,Hakamazuka,JPN,11/21/87,,Tachikawa JPN,10/16/04,,74.8
20 km,M,17,58:20,3500,Faustin,Baha Sulle,TAN,5/30/82,,Paris FRA,10/17/99,,78.8
20 km,M,18,57:22,3442,Mekubo,Mogusu Job,KEN,12/25/86,,Tachikawa JPN,10/22/05,,80.3
20 km,M,19,58:00,3480,Daniel,Muiva Kitonyi,KEN,1/12/94,,Tachikawa JPN,10/19/13,,79.3
20 km,M,20,57:01,3421,Mekubo,Mogusu Job,KEN,12/25/86,,Tachikawa JPN,10/20/07,,80.9
20 km,M,21,57:22,3442,Wilfred,Taragon Kipkoech,KEN,6/9/85,,Debrecen HUN,10/8/06,,80.3
20 km,M,22,56:01,3361,James,Ndirangu Mwangi,KEN,3/29/94,,Copenhagen DEN,9/18/16,,82.6
20 km,M,23,56:05,3365,Geoffrey,Kipsang Kamworor,KEN,11/22/92,,Cardiff WAL,3/26/16,,82.5
20 km,M,24,56:01,3361,Zersenay,Tadese,ERI,2/8/82,,Debrecen HUN,10/8/06,WA Official WB,82.6
20 km,M,25,56:13,3373,Bitan,Karoki Muchiri,KEN,8/21/90,,Cardiff WAL,3/26/16,,82.3
20 km,M,26,56:23,3383,Bitan,Karoki Muchiri,KEN,8/21/90,,Copenhagen DEN,9/18/16,,82.0
20 km,M,27,57:38,3458,Robert,Cheruiyot Kiprotich,KEN,12/20/74,,Paris FRA,10/13/02,,79.9
20 km,M,28,56:54,3414,Abayneh,Ayele Woldegiorgis,ETH,11/4/87,,Cardiff WAL,3/26/16,,81.1
