Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
Marathon,M,4.0,6:56:39,24999.0,Kevin,Nakano  ,USA,6/18/1967,,Juneau AK USA,6/3/1972,,,,,,,,18.6
Marathon,M,6.0,6:39:7,23947.0,Charlie,McHugh  ,USA,8/15/2010,,Gulf Shores AL USA,1/29/2017,,,,,,,,19.8
Marathon,M,7.0,4:4:8,14648.0,Wesley,McHugh  ,USA,1/25/1969,,Columbia MO USA,9/6/1976,,,,,,,,37.1
Marathon,M,8.0,3:15:20,11720.0,Wesley,Paul ,USA,1/25/1969,Chicago Marathon,Chicago IL USA,9/25/1977,,,,,,,,48.6
Marathon,M,11.0,2:50:2,10202.0,Wesley,Paul ,USA,1/25/1969,,Sedalia MO USA,3/30/1980,,,,,,,,57.2
Marathon,M,12.0,3:2:19,10939.0,Wesley,Paul ,USA,1/25/1969,,Columbia MO USA,9/7/1981,,,,,,,,52.7
Marathon,M,13.0,2:43:2,9782.0,Tom,Ansberry ,USA,8/22/1963,,San Diego CA USA,1/15/1977,,,,,,,,60.1
Marathon,M,14.0,2:41:43,9703.0,Kevin,Kitze ,USA,2/7/1960,,Allendale MI USA,11/16/1974,,,,,,,,60.7
Marathon,M,15.0,2:29:11,8951.0,Mitch,Kingery ,USA,7/3/1956,,Burlingame CA USA,2/13/1972,,,,,,,,66.7
Marathon,M,16.0,2:15:7,8107.0,Zhu-hong,Li ,CHN,10/22/1983,,Beijing CHN,10/15/2000,,,,,,,,74.9
Marathon,M,17.0,2:10:46,7846.0,Zhu-hong,Li ,CHN,10/22/1983,,Beijing CHN,10/14/2001,,,,,,,,77.8
Marathon,M,18.0,2:4:32,7472.0,Tsegay,Mekonen Assefa,ETH,6/15/1995,Dubai Marathon,Dubai UAE,1/24/2014,,,,,,,,82.4
Marathon,M,19.0,2:4:48,7488.0,Berhanu,Shiferaw Tolcha,ETH,5/31/1993,Dubai Marathon,Dubai UAE,1/25/2013,,,,,,,,82.2
Marathon,M,20.0,2:4:46,7486.0,Tsegay,Mekonen Assefa,ETH,6/15/1995,Dubai Marathon,Dubai UAE,1/22/2016,,,,,,,,82.2
Marathon,M,21.0,2:4:23,7463.0,Ayele,Abshiro Biza,ETH,12/28/1990,Dubai Marathon,Dubai UAE,1/27/2012,,,,,,,,82.5
Marathon,M,22.0,2:4:52,7492.0,Feyisa,Lelisa Gemechu,ETH,2/1/1990,Chicago Marathon,Chicago IL USA,10/7/2012,,,,,,,,82.1
Marathon,M,23.0,2:00:35,7235.0,Kelvin,Kiptum,KEN,12/2/1999,Chicago Marathon,Chicago IL USA,10/8/2023,WR,,,,,,,85.5
Marathon,M,24.0,2:4:2,7442.0,Leul,Gebrselasie ,ETH,9/20/1993,Dubai Marathon,Dubai UAE,1/26/2018,,,,,,,,82.8
Marathon,M,25.0,2:2:48,7368.0,Birhanu,Legese Gurmese,ETH,9/11/1994,Berlin Marathon,Berlin GER,9/29/2019,,,,,,,,83.8
Marathon,M,26.0,2:3:38,7418.0,Patrick,Makau Musyoki,KEN,3/2/1985,Berlin Marathon,Berlin GER,9/25/2011,,,,,,,,83.1
Marathon,M,27.0,2:2:55,7375.0,Mosinet,Geremew Bayih,ETH,2/12/1992,London Marathon,London ENG,4/28/2019,,,,,,,,83.7
Marathon,M,28.0,2:3:36,7416.0,Sisay,Lemma Kasaye,ETH,12/12/1990,Berlin Marathon,Berlin GER,9/29/2019,,,,,,,,83.1
Marathon,M,29.0,2:3:14,7394.0,Emanuel,Mutai Kipchirchir,KEN,10/12/1984,Berlin Marathon,Berlin GER,9/28/2014,,,,,,,,83.4
