Event,Gender,AGE,Unnamed: 3,Unnamed: 4,Unnamed: 5,Age at Performance,Time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,Unnamed: 20,COMMENTS,VDOT
Mile,M,19,19.0,269.0,19y269d,19y269d,3:55,,3.0,55.0,235.0,235.0,Emmanuel,Wanyony,KEN,8/1/04,adizero Road to Record,"Herzogenaurach, Ger",4/27/24,,,78.4
Mile,M,30,,,,,3:52,,,,,232.0,Elliot,Giles,GB,5/26/94,New Balance KÖ MEILE,"Düsseldorf, Ger",9/1/24,,WR,79.6
Mile,M,40,,,,,4:31,,,,,271.0,Philippe,Rolly,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,66.6
Mile,M,41,,,,,4:28,,,,,268.0,Joey,Keilor,USA,,Medtronic TC Mile,"Minneapolis, MN",5/12/16,,,67.5
Mile,M,42,,,,,4:25,,,,,265.0,Bryan,Lindsay,USA,,USATF Masters 1 Mile Championships,"Indianapolis, IN",6/24/23,,,68.3
Mile,M,43,,,,,4:22,,,,,262.0,Neville,Davey,USA,,Mile of Truth,"Danville, CA",5/6/18,,,69.2
Mile,M,44,,,,,4:28,,,,,268.0,Nicholas,Berra,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,67.5
Mile,M,45,,,,,4:24,,,,,264.0,Kevin,Castille,USA,,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,,,68.6
Mile,M,46,,,,,4:37,,,,,277.0,Michael,Madson,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,65.0
Mile,M,47,,,,,4:42,,,,,282.0,Charles,Novak,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,,,63.7
Mile,M,48,,,,,4:30,,,,,270.0,Jerome,Vermeulen,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,,,66.9
Mile,M,49,,,,,4:38,,,,,278.0,Mbarak,Hussein,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/22/14,,,64.7
Mile,M,50,,,,,4:38,,,,,278.0,Michael,Madsen,USA,,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,,64.7
Mile,M,51,,,,,4:44,,,,,284.0,Michael,Madsen,USA,,USATF Masters Mile Championships,"Danville, CA",5/19/24,,,63.2
Mile,M,52,,,,,4:52,,,,,292.0,Glenn,Edwards,USA,,Liberty Mile,"Pittsburgh, PA",7/22/22,,,61.2
Mile,M,53,,,,,4:42,,,,,282.0,Jaime,Heilpern,USA,,Mile of Truth,"Danville, CA",45/7/2023,,,63.7
Mile,M,54,,,,,4:44,,,,,284.0,Charles,Novak,USA,,Fleet Feet Liberty Mile,"Pittsburgh, PA",7/22/22,,,63.2
Mile,M,55,,,,,4:47,,,,,287.0,Christian,Cushing-Murray ,USA,,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,,62.4
Mile,M,56,,,,,4:50,,,,,290.0,Thomas,Dever,USA,,USATF Masters 1 Mile Road Championships,"Pittsburgh, PA",8/9/13,,,61.7
Mile,M,57,,,,,4:56,,,,,296.0,Nat,Larson,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,60.3
Mile,M,58,,,,,5:01,,,,,301.0,David,Noyes,USA,,Liberty Mile,"Pittsburgh, PA",7/20/18,,,59.2
Mile,M,59,,,,,5:05,,,,,305.0,David,Noyes,USA,,Liberty Mile,"Pittsburgh, PA",8/9/19,,,58.3
Mile,M,60,,,,,4:49,,,,,289.0,Nat,Larson,USA,,Big Bang Mile,"Holmdel, NJ",7/16/22,,,62.0
Mile,M,61,,,,,5:13,,,,,313.0,David,Westenberg,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,56.6
Mile,M,62,,,,,5:00,,,,,300.0,Daniel,King,USA,,Lincoln Running Company Mile,"Lincoln, NE",7/11/21,,,59.4
Mile,M,63,,,,,5:06,,,,,306.0,David,Noyes,USA,,Fleet Feet Liberty Mile,"Pittsburgh, PA",7/7/23,,,58.1
Mile,M,64,,,,,5:09,,,,,309.0,Daniel,King,USA,,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,,57.5
Mile,M,65,,,,,5:18,,,,,318.0,Tom,Bernhard,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/26/16,,,55.6
Mile,M,66,,,,,5:28,,,,,328.0,Tom,Bernhard,USA,,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,,,53.7
Mile,M,67,,,,,5:19,,,,,319.0,Jacob,Nur,USA,,Mile of Truth,"Danville, CA",45/7/2023,,,55.4
Mile,M,68,,,,,5:23,,,,,323.0,Jacob,Nur,USA,,USATF Masters Mile Championships,"Danville, CA",5/19/24,,,54.7
Mile,M,69,,,,,5:51,,,,,351.0,Doug ,Steedman,USA,,USATF Masters Mile Championships,"Danville, CA",5/19/24,,,49.8
Mile,M,70,,,,,6:01,,,,,361.0,Bob,Giambalvo,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,48.3
Mile,M,71,,,,,5:33,,,,,333.0,Robert,Qualls,USA,,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,,52.8
Mile,M,72,,,,,6:05,,,,,365.0,Doug,Goodhue,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/22/14,,,47.7
Mile,M,73,,,,,5:55,,,,,355.0,Doug,Goodhue,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,,,49.2
,,74,,,,,,,,,,,,,,,,,,,,
Mile,M,75,,,,,5:56,,,,,356.0,Gary,Patton,USA,,Lincoln Running Company Mile,"Lincoln, NE",7/11/21,,,49.0
Mile,M,76,,,,,6:24,,,,,384.0,Doug,Goodhue,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/24/18,,,45.0
Mile,M,77,,,,,6:20,,,,,380.0,Doug,Goodhue,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,45.6
,,78,,,,,,,,,,,,,,,,,,,,
,,79,,,,,,,,,,,,,,,,,,,,
Mile,M,80,,,,,7:08,,,,,428.0,Sherwood,Sagedahl,USA,,Lincoln Running Company Mile,"Lincoln, NE",5/9/19,,,39.9
Mile,M,81,,,,,7:44,,,,,464.0,Jim,Askew,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/25/17,,,36.4
Mile,M,82,,,,,8:43,,,,,523.0,Christopher,Rush,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/24/18,,,31.8
,,83,,,,,,,,,,,,,,,,,,,,
,,84,,,,,,,,,,,,,,,,,,,,
Mile,M,85,,,,,10:13,,,,,613.0,Joe,Desenberg,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,26.5
Mile,M,86,,,,,12:52,,,,,772.0,Donald,Hildebrandt,USA,,USATF Masters Mile Championships,"Danville, CA",5/19/24,,,20.1
,,87,,,,,,,,,,,,,,,,,,,,
,,88,,,,,,,,,,,,,,,,,,,,
Mile,M,89,,,,,10:11,,,,,611.0,Lou,Lodovico,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,26.6
Mile,M,90,,,,,12:50,,,,,770.0,Nathaniel,Finestone,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,20.2
,,91,,,,,,,,,,,,,,,,,,,,
Mile,M,92,,,,,13:30,,,,,810.0,Richard,Soller,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,19.0
,,93,,,,,,,,,,,,,,,,,,,,
,,94,,,,,,,,,,,,,,,,,,,,
,,95,,,,,,,,,,,,,,,,,,,,
Mile,M,96,,,,,13:56,,,,,836.0,Mike,Fremont,USA,,Grand Blue Mile,"Des Moine, IA",4/25/18,,,18.2
