Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,Comments,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
10 Mile,F,7,1:28:23,5303,Elizabeth-Ann,Westrip ,USA,1/28/2009,,Dalton GA USA,12/10/2016,,,,,,,,37.2
10 Mile,F,8,1:26:02,5162,Reagan,Jones ,USA,6/29/2006,,Bay Saint Louis MS USA,2/21/2015,,,,,,,,38.4
10 Mile,F,9,1:09:43,4183,Sarah,Schwald ,USA,1/2/1973,,Redmond WA USA,3/21/1982,,,,,,,,49.0
10 Mile,F,12,58:39,3519,Shona,Jones ,USA,3/24/1968,,Lincoln NE USA,2/28/1981,,,,,,,,59.9
10 Mile,F,13,59:32,3572,Shona,Jones ,USA,3/24/1968,,Lincoln NE USA,2/27/1982,,,,,,,,58.8
10 Mile,F,14,1:00:15,3615,Shona,Jones ,USA,3/24/1968,,Atwood KS USA,7/31/1982,,,,,,,,58.0
10 Mile,F,15,54:03,3243,Lydia,Cheromei Kogo,KEN,5/11/1977,Cherry Blossom 10 Mile,Washington DC USA,4/4/1993,,,,,,,,65.8
10 Mile,F,16,56:19,3379,Mary,Naali Xwaymay,TAN,12/29/1992,,Schortens GER,8/15/2009,,,,,,,,62.7
10 Mile,F,17,53:46,3226,Ogla,Kimaiyo Cherono,KEN,7/24/1988,,Portsmouth ENG,10/9/2005,,,,,,,,66.2
10 Mile,F,18,51:40,3100,Rose,Cheruiyot Kosgei,KEN,7/21/1976,Cherry Blossom 10 Mile,Washington DC USA,4/9/1995,,,,,,,,69.3
10 Mile,F,19,52:55,3175,Teyiba,Erkiso Waka,ETH,9/28/1982,Cherry Blossom 10 Mile,Washington DC USA,4/7/2002,,,,,,,,67.4
10 Mile,F,20,51:28,3088,Dera,Dida Yami,ETH,10/26/1996,,Houston TX USA,1/15/2017,,,,,,,,69.7
10 Mile,F,21,52:44,3164,Cathy,O'Brien ,USA,7/19/1967,Cherry Blossom 10 Mile,Washington DC USA,4/2/1989,,,,,,,,67.7
10 Mile,F,22,51:38,3098,Buze,Diriba Kejela,ETH,2/9/1994,,Pittsburgh PA USA,11/6/2016,,,,,,,,69.4
10 Mile,F,23,49:29,2969,Caroline ,Chepkoech KIPKIRUI,KEN,,Ras Al Khaimah 10 Mile,UAE,2/9/2018,WA Official WB,,,,,,,72.9
10 Mile,F,24,51:41,3101,Jill,Boltz ,ENG,10/14/1966,,New York NY USA,4/20/1991,,,,,,,,69.3
10 Mile,F,25,52:03,3123,Emily,Sisson ,USA,10/12/1991,,Pittsburgh PA USA,11/6/2016,,,,,,,,68.7
10 Mile,F,26,52:23,3143,Lisa,Ondieki ,AUS,5/12/1960,Cherry Blossom 10 Mile,Washington DC USA,4/5/1987,,,,,,,,68.2
10 Mile,F,27,51:16,3076,Veronica,Nyaruai Wanjiru,KEN,10/29/1989,,Houston TX USA,1/15/2017,,,,,,,,70.0
10 Mile,F,28,52:14,3134,Liz,McColgan ,SCO,5/24/1964,,Sandiacre ENG,9/6/1992,,,,,,,,68.5
10 Mile,F,29,51:52,3112,Lyudmila,Biktasheva ,RUS,7/25/1974,Crim 10 Mile,Flint MI USA,8/23/2003,,,,,,,,69.0
10 Mile,F,30,52:05,3125,Mamitu,Daska Molisa,ETH,10/16/1983,Cherry Blossom 10 Mile,Washington DC USA,4/6/2014,,,,,,,,68.7
10 Mile,F,31,51:49,3109,Tirunesh,Dibaba ,ETH,6/1/1985,,Portsmouth ENG,10/23/2016,,,,,,,,69.1
10 Mile,F,32,51:00,3060,Sonia,O'Sullivan ,IRL,11/28/1969,,Portsmouth ENG,9/8/2002,,,,,,,,70.4
10 Mile,F,33,51:16,3076,Colleen,De Reuck,USA,4/16/1964,Cherry Blossom 10 Mile,Washington DC USA,4/5/1998,,,,,,,,70.0
10 Mile,F,34,51:11,3071,Paula,Radcliffe ,ENG,12/17/1973,,Portsmouth ENG,10/26/2008,,,,,,,,70.1
10 Mile,F,35,52:12,3132,Janet,Bawcom ,USA,8/22/1978,Cherry Blossom 10 Mile,Washington DC USA,4/6/2014,,,,,,,,68.5
10 Mile,F,36,52:52,3172,Carla,Beurskens ,NED,2/15/1952,,Den Haag NED,11/6/1988,,,,,,,,67.5
