Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
12 km,F,7,1:02:21,3741,Elizabeth-Ann,Westrip,USA,1/28/09,,Aberdeen NC USA,12/3/16,,,,,,,,38.8
12 km,F,13,51:26,3086,Morgan,Lucason,USA,11/1/02,,Canastota NY USA,6/11/16,,,,,,,,48.5
12 km,F,15,41:22,2482,Lydia,Cheromei Kogo,KEN,5/11/77,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/93,,,,,,,,62.5
12 km,F,17,39:35,2375,Gladys,Ondeyo,KEN,5/10/75,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/93,,,,,,,,65.8
12 km,F,18,39:37,2377,Esther,Chemutai,KEN,11/2/93,,Zandvoort NED,3/25/12,,,,,,,,65.8
12 km,F,19,39:53,2393,Rita,Cheptoo Sitienei,KEN,2/15/81,,Voghera ITA,4/9/00,,,,,,,,65.3
12 km,F,20,39:34,2374,Leah,Cherotich,KEN,12/30/87,,Santiago de Compostela ESP,10/26/08,,,,,,,,65.9
12 km,F,21,38:37,2317,Lineth,Chepkurui,KEN,2/23/88,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/09,,,,,,,,67.8
12 km,F,22,38:10,2290,Lineth,Chepkurui,KEN,2/23/88,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/10,,,,,,,,68.7
12 km,F,23,38:21,2301,Emily,Sisson,USA,10/12/91,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,68.3
12 km,F,24,38:50,2330,Emily,Muge Chebet,KEN,2/18/86,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/10,,,,,,,,67.3
12 km,F,25,39:15,2355,Gladys,Cherono,KEN,5/12/83,,Santiago de Compostela ESP,10/26/08,,,,,,,,66.5
12 km,F,26,38:03,2283,Cynthia,Cherotich Limo,KEN,12/18/89,Lilac Bloomsday Run 12K,Spokane WA USA,5/1/16,,,,,,,,69.0
12 km,F,27,38:52,2332,Edna,Kiplagat Ngeringwony,KEN,9/15/79,Lilac Bloomsday Run 12K,Spokane WA USA,5/6/07,,,,,,,,67.3
