Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
30 km,F,8,3:26:17,12377.0,Elizabeth-Ann,Westrip,USA,1/28/09,,Kingston TN USA,2/26/17,,29.6
30 km,F,17,2:04:34,7474.0,Annick,Loir,FRA,1/13/58,,Le Havre FRA,4/27/75,,54.1
30 km,F,18,1:52:11,6731.0,Naomi,Kurahashi,JPN,1/22/65,,Ome JPN,2/20/83,,61.0
30 km,F,19,1:46:30,6390.0,Kinuyo,Yoshida,JPN,2/21/75,,Ome JPN,2/19/95,,64.8
30 km,F,20,1:43:57,6237.0,Mirai,Waku,JPN,7/1/95,,Ome JPN,2/21/16,,66.6
30 km,F,21,1:43:26,6206.0,Yuka,Hakoyama,JPN,3/9/90,,Kumamoto JPN,2/19/12,,67.0
30 km,F,22,1:39:57,5997.0,Hirut,Aga Sora,ETH,1/16/94,,Berlin GER,9/25/16,,69.7
30 km,F,23,1:39:06,5946.0,Birhane,Dibaba Adugna,ETH,9/11/93,,Berlin GER,9/25/16,,70.4
30 km,F,24,1:43:05,6185.0,Megumi,Kobayashi,JPN,8/4/76,,Ome JPN,2/18/01,,67.3
30 km,F,25,1:39:09,5949.0,Mizuki,Noguchi,JPN,7/3/78,,Ome JPN,2/15/04,,70.4
30 km,F,26,1:44:36,6276.0,Tomoe,Yokoyama,JPN,8/9/76,,Ome JPN,2/16/03,,66.2
30 km,F,27,1:43:45,6225.0,Janet,Rono Chelegat,KEN,12/8/88,,Berlin GER,9/25/16,,66.8
30 km,F,28,1:41:57,6117.0,Naoko,Takahashi,JPN,5/6/72,,Ome JPN,2/18/01,,68.2
30 km,F,29,1:46:29,6389.0,Mika,Okunaga,JPN,10/27/82,,Kumamoto JPN,2/19/12,,64.8
30 km,F,30,1:34:00,5640.0,Suffan,Hassan,NED,1/1/93,"Chicago Marathon, 30K split","Chicago, IL",10/8/2023,,74.9
30 km,F,31,1:46:26,6386.0,Irma,Heeren,NED,4/16/67,,Schoorl NED,2/21/99,,64.9
30 km,F,32,1:43:26,6206.0,Eriko,Asai,JPN,10/20/59,,Osaka JPN,12/8/91,,67.0
30 km,F,33,1:44:09,6249.0,Aurica,Buia,ROM,2/16/70,,Snagov ROM,8/3/03,,66.5
30 km,F,34,1:43:49,6229.0,Hiromi,Ominami,JPN,11/15/75,,Ome JPN,2/21/10,,66.7
30 km,F,35,1:36:05,5365.0,Mary,Jepkosgei KEITANY,KEN,1/18/82,"London Marathon, 30K split","London, ENG",4/23/17,WA Official WB,79.3
30 km,F,36,1:43:24,6204.0,Mara,Yamauchi,ENG,8/13/73,,Ome JPN,2/21/10,,67.1
30 km,F,37,1:46:07,6367.0,Kara,Goucher,USA,7/9/78,,Los Angeles CA USA,2/13/16,,65.1
30 km,F,38,1:47:03,6423.0,Yoshimi,Hoshino,JPN,6/17/66,,Ome JPN,2/20/05,,64.4
30 km,F,39,1:47:15,6435.0,Yoshimi,Hoshino,JPN,6/17/66,,Ome JPN,2/19/06,,64.3
30 km,F,40,1:43:47,6227.0,Desiree,Linden,,9/26/83,"Chicago Marathon, 30K split","Chicago, IL",10/8/2023,,66.8
30 km,F,41,1:53:13,6793.0,Yoshiko,Fukuchi,JPN,6/25/63,,Ome JPN,2/20/05,,60.4
30 km,F,42,1:45:04,6304.0,Deena,Kastor,USA,2/14/73,Chicago Marathon (30K split),"Chicago, IL",10/11/15,,65.8
30 km,F,43,1:51:37,6697.0,Mieke,Pullen,NED,7/14/57,,Schoorl NED,2/18/01,,61.4
30 km,F,44,1:53:20,6800.0,Mieke,Pullen,NED,7/14/57,,Schoorl NED,2/17/02,,60.3
30 km,F,45,1:53:24,6804.0,Yoshimi,Hoshino,JPN,6/17/66,,Ome JPN,2/19/12,,60.3
30 km,F,46,1:53:05,6785.0,Yoshimi,Hoshino,JPN,6/17/66,,Ome JPN,2/17/13,,60.5
30 km,F,47,2:00:23,7223.0,Claudia,Gelsomino,ITA,9/3/69,,Monza ITA,9/11/16,,56.2
30 km,F,48,1:59:25,7165.0,Shirley,Matson,USA,11/7/40,Clarksburg Country Run,Clarksburg CA USA,11/13/88,,56.8
30 km,F,49,2:03:55,7435.0,Donatella,Vinci,ITA,10/15/65,,Lugano SUI,9/27/15,,54.4
30 km,F,50,2:00:41,7241.0,Shirley,Matson,USA,11/7/40,Clarksburg Country Run,Clarksburg CA USA,11/11/90,,56.1
30 km,F,51,1:56:43,7003.0,Colleen,De Reuck,USA,4/16/64,,Los Angeles CA USA,2/13/16,,58.3
30 km,F,52,2:02:07,7327.0,Inez-Anne,Haagen,NED,7/3/63,,Schoorl NED,2/14/16,,55.3
30 km,F,53,1:57:01,7021.0,Joan,Samuelson,USA,5/16/57,Chicago Marathon (30K Split),"Chicago, IL USA",10/10/10,,58.1
30 km,F,54,2:02:11,7331.0,Manna,Kwak,NED,12/14/44,,Schoorl NED,2/21/99,,55.3
30 km,F,55,2:14:49,8089.0,Barbara,Miller,USA,8/7/39,Clarksburg Country Run,Clarksburg CA USA,11/13/94,,49.3
30 km,F,56,2:13:28,8008.0,Barbara,Miller,USA,8/7/39,Clarksburg Country Run,Clarksburg CA USA,11/12/95,,49.9
30 km,F,57,2:11:57,7917.0,Suzanne,Ray,USA,5/4/52,Clarksburg Country Run,Clarksburg CA USA,11/8/09,,50.5
30 km,F,58,2:13:38,8018.0,Barbara,Miller,USA,8/7/39,Clarksburg Country Run,Clarksburg CA USA,11/16/97,,49.8
30 km,F,59,2:16:08,8168.0,Barbara,Miller,USA,8/7/39,Clarksburg Country Run,Clarksburg CA USA,11/15/98,,48.7
30 km,F,60,1:59:31,7171.0,Jenny,Hitchings,USA,7/1/1963,"Chicago Marathon, 30K split","Chicago, IL",10/8/2023,,56.7
30 km,F,61,2:24:42,8682.0,Margaret,Saunders,RSA,9/16/53,,Uitenhage RSA,3/22/15,,45.4
30 km,F,62,2:20:20,8420.0,Margaret,Saunders,RSA,9/16/53,,Uitenhage RSA,3/5/16,,47.0
30 km,F,63,2:23:30,8610.0,Nancy,Will,RSA,10/2/52,,Cape Town RSA,1/10/16,,45.8
30 km,F,64,2:46:10,9970.0,Mary,Storey,USA,5/4/24,Clarksburg Country Run,Clarksburg CA USA,11/13/88,,38.5
30 km,F,65,2:27:54,8874.0,Barbara,Miller,USA,8/7/39,Clarksburg Country Run,Clarksburg CA USA,11/14/04,,44.2
30 km,F,66,2:32:32,9152.0,Barbara,Miller,USA,8/7/39,Clarksburg Country Run,Clarksburg CA USA,11/13/05,,42.6
30 km,F,67,2:58:06,10686.0,Jaclyn,Caselli,USA,3/28/21,Clarksburg Country Run,Clarksburg CA USA,11/13/88,,35.5
30 km,F,68,2:38:46,9526.0,Myra,Rhodes,USA,7/16/32,Clarksburg Country Run,Clarksburg CA USA,11/12/00,,40.7
30 km,F,69,2:45:38,9938.0,Myra,Rhodes,USA,7/16/32,Clarksburg Country Run,Clarksburg CA USA,11/11/01,,38.7
30 km,F,70,2:22:29,8549.0,Jeannie,Rice,USA,4/14/48,Chicago Marathon (30k split),"Chicago, IL",10/7/18,,46.2
30 km,F,71,3:14:48,11688.0,Loretta,Shehan,USA,2/21/23,Around The Bay,"Hamilton/Ontario, ",3/27/94,,31.8
30 km,F,72,2:51:25,10285.0,Myra,Rhodes,USA,7/16/32,Clarksburg Country Run,Clarksburg CA USA,11/14/04,,37.1
30 km,F,73,4:33:17,16397.0,Elizabeth,Vinerman,USA,,Clarksburg Country Run,Clarksburg CA USA,11/15/92,,20.7
