Event,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,VDOT
5 km,3,45:48,2748.0,Fanny,O'Neill,USA,4/11/11,,Huntsville AL USA,3/14/15,,,,,,18.3
5 km,4,29:54,1794.0,Brooke,Johnson,USA,6/20/13,,Asbury Park NJ USA,8/12/17,,,,,,30.9
5 km,5,22:18,1338.0,Ava,Johnson,USA,8/22/10,,Pine Beach NJ USA,6/26/16,,,,,,43.8
5 km,6,20:58,1258.0,Ava,Johnson,USA,8/22/10,,Sea Girt NJ USA,8/5/17,,,,,,47.1
5 km,7,18:28,1108.0,Megan,Crum,USA,8/27/07,,South El Monte CA USA,3/7/15,,,,,,54.7
5 km,8,18:35,1115.0,Megan,Crum,USA,8/27/07,,La Palma CA USA,7/4/16,,,,,,54.3
5 km,9,17:54,1074.0,Megan,Crum,USA,8/27/07,,Fountain Valley CA USA,8/28/16,,,,,,56.7
5 km,10,17:56,1076.0,Megan,Crum,USA,8/27/07,,Huntington Beach CA USA,10/15/17,,,,,,56.6
5 km,11,17:29,1049.0,Grace,Ping,USA,7/7/03,,Winona MN USA,6/20/15,,,,,,58.3
5 km,12,17:17,1037.0,Annabella,Veltcheva,USA,4/24/04,,Clermont FL USA,3/18/17,,,,,,59.0
5 km,13,16:36,996.0,Grace,Ping,USA,7/7/03,,San Jose CA USA,11/24/16,,,,,,61.9
5 km,14,16:28,988.0,Yui,Fukuda,JPN,6/1/95,,Himeji JPN,2/11/10,,,,,,62.5
5 km,15,16:14,974.0,Pamela,Chepchumba,KEN,2/28/78,,Bolzano ITA,12/31/93,,,,,,63.5
5 km,16,15:19,919.0,Tirunesh,Dibaba,ETH,6/1/85,Carlsbad 5000,Carlsbad CA USA,4/7/02,,,,,,67.9
5 km,17,15:00,900.0,Tirunesh,Dibaba,ETH,6/1/85,Carlsbad 5000,Carlsbad CA USA,4/13/03,,,,,,69.6
5 km,18,14:40,880.0,Mendina,Eisa,ETH,1/3/05,Cursa dels Nassos in Barcelona 5K,Barcelona SPN,12/31/23,,,,,,71.4
