Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
H Mar,F,5,1:51:31,6691,Nasiya,Jobe ,USA,11/27/1978,,Hayward CA USA,10/20/1984,,39.7
H Mar,F,6,2:40:22,9622,Rosie,Dunham ,USA,11/23/2006,,Columbia SC USA,11/9/2013,,25.7
H Mar,F,7,1:41:00,6060,Makenzie,Kolvoord ,USA,11/21/2006,,Carderock MD USA,11/16/2014,,44.6
H Mar,F,8,1:35:25,5725,Tabitha,Francks ,USA,11/24/1974,,New York NY USA,9/24/1983,,47.6
H Mar,F,9,1:28:31,5311,Tabitha,Francks ,USA,11/24/1974,,Philadelphia PA USA,9/16/1984,,52.0
H Mar,F,10,1:25:52,5152,Stephanie,Paparelli ,USA,11/20/1972,,The Woodlands TX USA,1/29/1983,,53.8
H Mar,F,11,1:31:23,5483,Heather,Welsch ,USA,6/28/2002,,Houston TX USA,1/19/2014,,50.1
H Mar,F,12,1:21:45,4905,Mira,Preradovic ,BIH,6/20/1987,,Belgrade SER,4/22/2000,,57.0
H Mar,F,13,1:16:23,4583,Mira,Preradovic ,BIH,6/20/1987,,Belgrade SER,4/21/2001,,61.6
H Mar,F,14,1:15:14,4514,Miyuki,Oka ,JPN,3/8/1994,,Kobe JPN,11/24/2008,,62.7
H Mar,F,15,1:12:36,4356,Eyerusalem,Kuma Mutal,ETH,11/4/1981,,Kosice SVK,10/4/1997,,65.3
H Mar,F,16,1:12:31,4351,Zhu-ang,Liu ,CHN,1/18/1995,,Yangzhou CHN,4/24/2011,,65.4
H Mar,F,17,1:10:08,4208,Mame,Feyisa ,ETH,6/10/1996,,Copenhagen DEN,3/29/2014,,68.0
H Mar,F,18,1:08:21,4101,Valentine,Kipketer Chepkorir,KEN,1/5/1993,,Lille FRA,9/3/2011,,70.0
H Mar,F,19,1:07:57,4077,Abebu,Gelan Adugna,ETH,1/18/1990,RAK Half Marathon,Ras Al Khaimah UAE,2/20/2009,,70.5
H Mar,F,20,1:04:14,3854,Girmawit,Gebrzihair,ETH,11/21/2001,RAK Half Marathon,Ras Al Khaimah UAE,2/19/2022,,75.3
H Mar,F,21,1:06:49,4009,Esther,Wanjiru Maina,KEN,3/27/1977,,Tokyo JPN,1/15/1999,,71.9
H Mar,F,22,1:03:51,3831,Yalemzerf,Yehualaw,ETH,8/3/1999,Medio Maraton Valencia Trinidad Alfonso EDP,Valencia ESP,10/24/2021,,75.8
H Mar,F,23,1:02:52,3772,Letesenbet,Gidey,ETH,3/20/98,Medio Maraton Valencia Trinidad Alfonso EDP,Valencia ESP,10/24/2021,WR,77.2
H Mar,F,24,1:06:11,3971,Eunice,Chebichii Chumba,BRN,1/16/1993,,Copenhagen DEN,9/17/2017,,72.7
H Mar,F,25,1:05:51,3951,Brigid,Kosgei ,KEN,2/20/1994,,Prague CZE,4/2/2016,,73.1
H Mar,F,26,1:04:02,3842,Ruth,Chepngetich,KEN,8/8/1994,N Kolay Istanbul Half Marathon,Istanbul TUK,4/4/2021,,75.5
H Mar,F,27,1:05:09,3909,Florence,Chebet Kiplagat,KEN,2/27/1987,,Barcelona ESP,2/15/2015,,74.0
H Mar,F,28,1:04:31,3871,Ababel,Yeshaneh,ETH,7/22/1991,RAK Half Marathon,Ras Al Khaimah UAE,2/21/2020,,74.9
H Mar,F,29,1:05:18,3918,Genzebe,Dibaba,ETH,2/8/1991,Medio Maratón Valencia Trinidad Alfonso EDP,Valencia ESP,12/6/2020,,73.8
H Mar,F,30,1:06:49,4009,Mary,Keitany Chepkosgei,KEN,1/18/1982,RAK Half Marathon,Ras Al Khaimah UAE,2/17/2012,,71.9
H Mar,F,31,1:05:52,3952,Edith,Chelimo ,KEN,7/16/1986,,Cardiff WAL,10/1/2017,,73.1
,F,32,1:04:48,3888,Helen,Oberi,KEN,12/13/1989,N Kolay Istanbul Half Marathon,Istanbul TUK,3/27/2022,,74.5
H Mar,F,33,1:06:02,3962,Mary,Keitany Chepkosgei,KEN,1/18/1982,RAK Half Marathon,Ras Al Khaimah UAE,2/13/2015,,72.9
H Mar,F,34,1:07:26,4046,Lydia,Cheromei Kogo,KEN,5/11/1977,,Prague CZE,3/31/2012,,71.1
H Mar,F,35,1:05:13,3913,Mary,Keitany Chepkosgei,KEN,1/18/1982,RAK Half Marathon,Ras Al Khaimah UAE,2/10/2017,,73.9
H Mar,F,36,1:08:21,4101,Edna,Kiplagat Ngeringwony,KEN,9/15/1979,,Glasgow SCO,10/4/2015,,70.0
