Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,VDOT
Marathon,F,6,4:27:32,16052,Mary,Etta Boitano,USA,3/4/1963,,Petaluma CA USA,12/14/1969,,,,,33.2
Marathon,F,7,3:57:42,14262,Mary,Etta Boitano,USA,3/4/1963,,Petaluma CA USA,12/13/1970,,,,,38.4
Marathon,F,8,3:13:24,11604,Tabitha,Francks ,USA,11/24/1974,,Asbury Park NJ USA,11/13/1983,,,,,49.2
Marathon,F,9,3:11:01,11461,Julie,Mullin ,USA,8/30/1966,,Seaside OR USA,2/28/1976,,,,,49.9
Marathon,F,10,2:58:01,10681,Julie,Mullin ,USA,8/30/1966,,Seaside OR USA,2/26/1977,,,,,54.2
Marathon,F,11,2:49:21,10161,Carrie,Garritson ,USA,11/11/1976,Los Angeles Marathon,Los Angeles CA USA,3/6/1988,,,,,57.5
Marathon,F,12,2:54:03,10443,Manuela,Zipse ,GER,5/11/1974,,Echternach LUX,10/19/1986,,,,,55.7
Marathon,F,13,2:44:03,9843,Kyung-Hee,Lim ,KOR,5/15/1973,,Seoul KOR,3/15/1987,,,,,59.7
Marathon,F,14,2:33:08,9188,Xin,Wei ,CHN,7/7/1988,,Beijing CHN,10/20/2002,,,,,64.7
Marathon,F,15,2:29:41,8981,Mei-yu,Shen ,CHN,3/21/1987,,Beijing CHN,10/20/2002,,,,,66.5
Marathon,F,16,2:31:51,9111,Li-nan,Wang ,CHN,11/26/1985,,Beijing CHN,10/20/2002,,,,,65.4
Marathon,F,17,2:23:37,8617,Min,Liu ,CHN,11/29/1983,,Beijing CHN,10/14/2001,,,,,69.8
Marathon,F,18,2:22:38,8558,Ying-ying,Zhang ,CHN,1/4/1990,,Xiamen CHN,1/5/2008,,,,,70.3
Marathon,F,19,2:20:59,8459,Demise,Shure Ware,ETH,1/21/1996,Dubai Marathon,Dubai UAE,1/23/2015,,,,,71.3
Marathon,F,20,2:19:17,8357,Roza,Dereje Bekele,ETH,5/6/1997,Dubai Marathon,Dubai UAE,1/26/2018,,,,,72.3
Marathon,F,21,2:20:51,8451,Roza,Dereje Bekele,ETH,5/6/1997,London Marathon,London ENG,4/28/2019,,,,,71.4
Marathon,F,22,2:19:52,8392,Mare,Dibaba Hurssa,ETH,10/20/1989,Dubai Marathon,Dubai UAE,1/27/2012,,,,,72.0
Marathon,F,23,2:20:13,8413,Haftamnesh,Tesfaye Haylu,ETH,4/28/1994,Dubai Marathon,Dubai UAE,1/26/2018,,,,,71.7
Marathon,F,24,2:17:08,8228,Ruth,Chepngetich ,KEN,8/8/1994,Dubai Marathon,Dubai UAE,1/25/2019,,,,,73.6
Marathon,F,25,2:14:04,8044,Brigid,Kosgei ,KEN,2/20/1994,Chicago Marathon,"Chicago, IL",10/13/2019,,,,,75.6
Marathon,F,26,2:09:56,7913,Ruth,Chepgnetich,KEN,8/4/1994,Chicago Marathon,"Chicago, IL",10/12/2024,WR,,,,77.1
Marathon,F,27,2:19:12,8352,Mizuki,Noguchi ,JPN,7/3/1978,Berlin Marathon,Berlin GER,9/25/2005,,,,,72.4
Marathon,F,28,2:17:18,8238,Paula,Radcliffe ,ENG,12/17/1973,Chicago Marathon,Chicago IL USA,10/13/2002,,,,,73.5
Marathon,F,29,2:15:25,8125,Paula,Radcliffe ,ENG,12/17/1973,London Marathon,London ENG,4/13/2003,,,,,74.7
