Event,AGE,Time,TIME_SEC,FNAME,LNAME,Country,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
Mile,21,4:21,261,Diribe,Welteji,ETH,World Road Running Championships,"Riga, Latvia",10/1/23,WR,69.5
Mile,40,4:47,287,Andrea,Pomaranski,USA,Liberty Mile,"Pittsburgh, PA",7/22/22,,62.4
Mile,41,5:29,329,Tammy,Nowik,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,,53.6
Mile,42,4:53,293,Sonja,Friend-Uhl,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,61.0
Mile,45,4:57,297,Dot,McMahan,USA,Clawson Firecracker Mile,"Clawson, MI",7/4/22,,60.1
Mile,47,5:07,307,Sonja,Friend-Uhl,USA,Navy Mile,"Washington, DC",9/30/18,,57.9
Mile,48,5:06,306,Sonja,Friend-Uhl,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,58.1
Mile,50,5:45,345,Lisa,Veneziano,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,,50.8
Mile,51,5:18,318,Doreen,McCoubrie,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,55.6
Mile,52,5:20,320,Perry,Shoemaker,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,55.2
Mile,53,5:25,325,Sonja,Friend-Uhl,USA,USATF Masters 1 Mile Championships,"Danville, CA",8/19/24,,54.3
Mile,54,5:35,335,Lisa,Veneziano,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,52.5
Mile,55,5:25,325,Jennifer,Harvey,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,54.3
Mile,56,5:27,327,Marisa,Sutera Strange ,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,53.9
Mile,57,5:32,332,Doreen,McCoubrie,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,53.0
Mile,58,5:36,336,Lisa,Veneziano,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,52.3
Mile,59,5:58,358,Roxanne,Springer,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,48.7
Mile,60,5:46,346,Suzanne,La Burt,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,50.6
Mile,61,5:44,344,Kathryn,Martin,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,50.9
Mile,62,6:02,362,Deb,Torneden,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,48.1
Mile,63,6:02,362,Nancy,Simmons,USA,Mile of Truth,"Danville, CA",5/7/23,,48.1
Mile,64,5:48,348,Sabra,Harvey,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,50.3
Mile,65,6:08,368,Sabra,Harvey,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/22/14,,47.2
Mile,66,6:06,366,Sabra,Harvey,USA,"Run One San Jacinto, Mile","La Porte, TX",1/30/16,,47.5
Mile,67,6:39,399,Nora,Cary,USA,Big Bang Mile,"Holmdel, NJ",7/16/22,,43.2
Mile,68,6:06,366,Sabra,Harvey,USA,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,,47.5
Mile,69,6:39,399,Jeannie,Rice,USA,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,,43.2
Mile,70,6:38,398,Jeannie,Rice,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/24/18,,43.3
Mile,71,6:24,384,Jeannie,Rice,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,45.0
Mile,73,6:59,419,Jeanette,Groesz,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,40.9
Mile,74,6:52,402,Sabra,Harvey,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,42.8
Mile,75,6:44,404,Jeannie,Rice,USA,USATF Masters Mile Championships,"Indianapolis, IN",6/24/23,,42.6
Mile,76,10:15,615,Catherine,Radle,USA,Mile of Truth,"Danville, CA",4/7/23,,26.4
Mile,78,8:36,516,Joann,Hall ,USA,"NoCal Run, Mile","Redding, CA",3/7/20,,32.3
Mile,80,7:28,448,Jan,Holmquist,USA,USATF NE Road Mile,"Hopkinton, MA",7/21/24,,37.9
Mile,81,8:57,537,Eve,Pell,USA,Mile of Truth,"Danville, CA",5/6/18,,30.9
Mile,82,11:31,691,Tami,Graf,USA,USATF Masters 1 Mile Championships ,"Flint, MI",8/24/18,,23.0
Mile,85,14:24,868,Carol,Mikkelsen,USA,USATF Masters 1 Mile Championships,"Danville, CA",8/19/24,,17.4
Mile,87,11:26,686,Barbara,Belanger,USA,USATF NE Road Mile,"Hopkinton, MA",7/21/24,,23.2
